run_id,scenario,seed,time_s,reference_m,position_measured_m,velocity_measured_m_s,force_command_n,position_true_m,velocity_true_m_s,force_applied_n
actuator_loss_00,actuator_loss,2709,0.00000000,0.00000000,-0.00023970,0.00556816,-0.02352620,0.00000000,0.00000000,-0.01364519
actuator_loss_00,actuator_loss,2709,0.02000000,0.00000000,0.00108086,0.00257000,-0.03230551,-0.00000466,-0.00023317,-0.01873719
actuator_loss_00,actuator_loss,2709,0.04000000,0.00000000,0.00032825,0.00750020,-0.04340943,-0.00001556,-0.00054504,-0.02517747
actuator_loss_00,actuator_loss,2709,0.06000000,0.00000000,-0.00063345,0.00135966,0.00460384,-0.00003468,-0.00095586,0.00267023
actuator_loss_00,actuator_loss,2709,0.08000000,0.00000000,-0.00089984,-0.00612850,0.04683962,-0.00005221,-0.00087619,0.02716698
actuator_loss_00,actuator_loss,2709,0.10000000,0.00000000,-0.00330812,0.00234690,0.04781166,-0.00005982,-0.00038075,0.02773076
actuator_loss_00,actuator_loss,2709,0.12000000,0.00000000,-0.00030065,-0.00692463,0.04003481,-0.00005769,0.00010667,0.02322019
actuator_loss_00,actuator_loss,2709,0.14000000,0.00000000,0.00412213,-0.00465390,-0.05092889,-0.00004769,0.00049966,-0.02953876
actuator_loss_00,actuator_loss,2709,0.16000000,0.00000000,-0.00614354,0.00450380,0.08806477,-0.00004815,-0.00002289,0.05107756
actuator_loss_00,actuator_loss,2709,0.18000000,0.00000000,0.00087190,0.01104296,-0.07090899,-0.00003114,0.00085073,-0.04112722
actuator_loss_00,actuator_loss,2709,0.20000000,0.00000000,0.00217272,-0.00246545,-0.02678169,-0.00002878,0.00011765,-0.01553338
actuator_loss_00,actuator_loss,2709,0.22000000,0.00000000,0.00294953,0.00043330,-0.05525802,-0.00003182,-0.00015197,-0.03204965
actuator_loss_00,actuator_loss,2709,0.24000000,0.00000000,0.00076559,-0.00441994,0.00831904,-0.00004571,-0.00069423,0.00482504
actuator_loss_00,actuator_loss,2709,0.26000000,0.00000000,0.00078038,-0.01038267,0.03786650,-0.00005745,-0.00058705,0.02196257
actuator_loss_00,actuator_loss,2709,0.28000000,0.00000000,-0.00433121,-0.01051846,0.13055407,-0.00006127,-0.00019084,0.07572136
actuator_loss_00,actuator_loss,2709,0.30000000,0.00000000,-0.00764032,0.00521616,0.11144496,-0.00003907,0.00110988,0.06463808
actuator_loss_00,actuator_loss,2709,0.32000000,0.00000000,0.00127302,0.00575697,-0.05169915,0.00000443,0.00217488,-0.02998551
actuator_loss_00,actuator_loss,2709,0.34000000,0.00000000,-0.00159646,-0.00269902,0.04223134,0.00003613,0.00158503,0.02449418
actuator_loss_00,actuator_loss,2709,0.36000000,0.00000000,-0.00070554,-0.00485174,0.03695841,0.00007507,0.00194713,0.02143588
actuator_loss_00,actuator_loss,2709,0.38000000,0.00000000,0.00503170,-0.00109321,-0.08510457,0.00011995,0.00224407,-0.04936065
actuator_loss_00,actuator_loss,2709,0.40000000,0.00000000,-0.00497640,0.00531372,0.06300657,0.00014637,0.00132067,0.03654381
actuator_loss_00,actuator_loss,2709,0.42000000,0.00000000,0.00612217,0.00922104,-0.15630419,0.00018433,0.00189809,-0.09065643
actuator_loss_00,actuator_loss,2709,0.44000000,0.00000000,0.00529960,0.00290307,-0.10990814,0.00018996,0.00028134,-0.06374672
actuator_loss_00,actuator_loss,2709,0.46000000,0.00000000,-0.00271737,0.00125128,0.04265631,0.00017360,-0.00081798,0.02474066
