run_id,scenario,seed,time_s,reference_m,position_measured_m,velocity_measured_m_s,force_command_n,position_true_m,velocity_true_m_s,force_applied_n
nominal_00,nominal,2609,0.00000000,0.00000000,-0.00024450,-0.01459191,0.07736056,0.00000000,0.00000000,0.07736056
nominal_00,nominal,2609,0.02000000,0.00000000,0.00058803,-0.00278826,0.00335682,0.00002503,0.00125133,0.00335682
nominal_00,nominal,2609,0.04000000,0.00000000,-0.00272792,-0.01250940,0.11164948,0.00005037,0.00126729,0.11164948
nominal_00,nominal,2609,0.06000000,0.00000000,-0.00359269,0.00467554,0.04129068,0.00011106,0.00303443,0.04129068
nominal_00,nominal,2609,0.08000000,0.00000000,0.00176531,0.00081933,-0.03587220,0.00018325,0.00360935,-0.03587220
nominal_00,nominal,2609,0.10000000,0.00000000,0.00432725,0.00137757,-0.08477840,0.00024162,0.00291853,-0.08477840
nominal_00,nominal,2609,0.12000000,0.00000000,0.00092830,0.00488173,-0.04111800,0.00027077,0.00145779,-0.04111800
nominal_00,nominal,2609,0.14000000,0.00000000,0.00252307,0.00988444,-0.09483744,0.00028574,0.00074803,-0.09483744
nominal_00,nominal,2609,0.16000000,0.00000000,-0.00498238,-0.00403772,0.10987146,0.00026956,-0.00080891,0.10987146
nominal_00,nominal,2609,0.18000000,0.00000000,-0.00049170,-0.00417644,0.02973276,0.00028942,0.00099308,0.02973276
nominal_00,nominal,2609,0.20000000,0.00000000,0.00271334,0.00018618,-0.04977093,0.00031829,0.00144359,-0.04977093
nominal_00,nominal,2609,0.22000000,0.00000000,0.00122534,0.00296316,-0.03687187,0.00033018,0.00059430,-0.03687187
nominal_00,nominal,2609,0.24000000,0.00000000,0.00254783,0.00333895,-0.06255570,0.00032977,-0.00002032,-0.06255570
nominal_00,nominal,2609,0.26000000,0.00000000,-0.00191846,-0.00329843,0.05102439,0.00030914,-0.00103156,0.05102439
nominal_00,nominal,2609,0.28000000,0.00000000,0.00043439,0.00670778,-0.04135797,0.00030565,-0.00017462,-0.04135797
nominal_00,nominal,2609,0.30000000,0.00000000,-0.00150846,-0.00578503,0.05607741,0.00028888,-0.00083824,0.05607741
nominal_00,nominal,2609,0.32000000,0.00000000,0.00458015,-0.00283046,-0.06829047,0.00029077,0.00009451,-0.06829047
nominal_00,nominal,2609,0.34000000,0.00000000,0.00216224,-0.00624668,-0.00768683,0.00027051,-0.00101301,-0.00768683
nominal_00,nominal,2609,0.36000000,0.00000000,-0.00603916,-0.00025849,0.10999727,0.00024839,-0.00110631,0.10999727
nominal_00,nominal,2609,0.38000000,0.00000000,0.00416510,0.01359706,-0.14295720,0.00026252,0.00070683,-0.14295720
nominal_00,nominal,2609,0.40000000,0.00000000,-0.00429116,0.00066774,0.07390218,0.00022998,-0.00162721,0.07390218
nominal_00,nominal,2609,0.42000000,0.00000000,0.00128144,-0.00522235,0.00304579,0.00022234,-0.00038196,0.00304579
nominal_00,nominal,2609,0.44000000,0.00000000,-0.00113753,-0.00265465,0.03374872,0.00021592,-0.00032099,0.03374872
