run_id,scenario,seed,time_s,reference_m,position_measured_m,velocity_measured_m_s,force_command_n,position_true_m,velocity_true_m_s,force_applied_n
sensor_bias_00,sensor_bias,2809,0.00000000,0.00000000,0.12191694,-0.00665496,-2.16123009,0.00000000,0.00000000,-2.16123009
sensor_bias_00,sensor_bias,2809,0.02000000,0.00000000,0.11690594,-0.03676302,-1.92049188,-0.00070054,-0.03502721,-1.92049188
sensor_bias_00,sensor_bias,2809,0.04000000,0.00000000,0.11706589,-0.06012529,-1.80655964,-0.00199982,-0.06496359,-1.80655964
sensor_bias_00,sensor_bias,2809,0.06000000,0.00000000,0.11884972,-0.09027570,-1.68791643,-0.00384056,-0.09203713,-1.68791643
sensor_bias_00,sensor_bias,2809,0.08000000,0.00000000,0.11741898,-0.10962256,-1.56542880,-0.00616593,-0.11626868,-1.56542880
sensor_bias_00,sensor_bias,2809,0.10000000,0.00000000,0.10966335,-0.13225830,-1.31264885,-0.00891978,-0.13769240,-1.31264885
sensor_bias_00,sensor_bias,2809,0.12000000,0.00000000,0.11199842,-0.16481404,-1.19190127,-0.01200562,-0.15429197,-1.19190127
sensor_bias_00,sensor_bias,2809,0.14000000,0.00000000,0.10428329,-0.17126848,-1.02075681,-0.01537304,-0.16837102,-1.02075681
sensor_bias_00,sensor_bias,2809,0.16000000,0.00000000,0.09492429,-0.17737139,-0.82178019,-0.01895701,-0.17919834,-0.82178019
sensor_bias_00,sensor_bias,2809,0.18000000,0.00000000,0.09252789,-0.18291217,-0.75094112,-0.02268567,-0.18643325,-0.75094112
sensor_bias_00,sensor_bias,2809,0.20000000,0.00000000,0.09224359,-0.18306423,-0.74506342,-0.02653116,-0.19227444,-0.74506342
sensor_bias_00,sensor_bias,2809,0.22000000,0.00000000,0.08732462,-0.20209124,-0.56138704,-0.03048760,-0.19782206,-0.56138704
sensor_bias_00,sensor_bias,2809,0.24000000,0.00000000,0.08385130,-0.19048434,-0.55690166,-0.03449169,-0.20020449,-0.55690166
sensor_bias_00,sensor_bias,2809,0.26000000,0.00000000,0.07973618,-0.20701587,-0.40017189,-0.03854036,-0.20243334,-0.40017189
sensor_bias_00,sensor_bias,2809,0.28000000,0.00000000,0.07564718,-0.20072608,-0.35801879,-0.04258129,-0.20204639,-0.35801879
sensor_bias_00,sensor_bias,2809,0.30000000,0.00000000,0.07279253,-0.19960948,-0.31221818,-0.04660107,-0.20098939,-0.31221818
sensor_bias_00,sensor_bias,2809,0.32000000,0.00000000,0.07350262,-0.21557787,-0.24515791,-0.05058559,-0.19922599,-0.24515791
sensor_bias_00,sensor_bias,2809,0.34000000,0.00000000,0.06912585,-0.19719962,-0.25826721,-0.05451431,-0.19643561,-0.25826721
sensor_bias_00,sensor_bias,2809,0.36000000,0.00000000,0.05566127,-0.19338545,-0.03497552,-0.05839335,-0.19395242,-0.03497552
sensor_bias_00,sensor_bias,2809,0.38000000,0.00000000,0.05704808,-0.18195182,-0.11710630,-0.06215205,-0.18793463,-0.11710630
sensor_bias_00,sensor_bias,2809,0.40000000,0.00000000,0.05423786,-0.18297403,-0.06141134,-0.06582109,-0.18345224,-0.06141134
