time_s,reference_m,position_measured_m,velocity_measured_m_s,force_command_n
0.00000000,0.00000000,-0.00079835,0.00260295,0.00135551
0.02000000,0.00000000,0.00580573,0.00399846,-0.12449546
0.04000000,0.00000000,0.00149342,0.00249009,-0.03933197
0.06000000,0.00000000,0.00332355,-0.01513122,0.01583223
0.08000000,0.00000000,0.00052231,-0.00236503,0.00242357
0.10000000,0.00000000,-0.00489654,-0.00073626,0.09181911
0.12000000,0.00000000,0.00003880,0.00222895,-0.01184317
0.14000000,0.00000000,0.00139667,-0.00305157,-0.00988212
0.16000000,0.00000000,-0.00024864,0.00184939,-0.00477145
0.18000000,0.00000000,-0.00046600,-0.00312124,0.02399418
0.20000000,0.00000000,0.00458857,-0.00360869,-0.06455072
0.22000000,0.00000000,-0.00035439,-0.00424884,0.02762326
0.24000000,0.00000000,0.00011359,0.00266641,-0.01537670
0.26000000,0.00000000,-0.00574610,0.00827302,0.06206462
0.28000000,0.00000000,0.00332510,-0.00053193,-0.05719222
0.30000000,0.00000000,0.00468276,0.00115386,-0.09005900
0.32000000,0.00000000,-0.00149380,-0.00394357,0.04660623
0.34000000,0.00000000,0.00398319,-0.01056522,-0.01887132
0.36000000,0.00000000,-0.00414456,-0.00520124,0.10060819
0.38000000,0.00000000,0.00067102,-0.00524597,0.01415141
0.40000000,0.00000000,-0.00129134,-0.00145057,0.03049695
0.42000000,0.00000000,0.00177771,0.00039635,-0.03398044
0.44000000,0.00000000,0.00278597,0.00215319,-0.06091342
0.46000000,0.00000000,-0.00397539,-0.00292423,0.08617819
0.48000000,0.00000000,0.00109963,-0.00228236,-0.00838149
0.50000000,0.00000000,0.00161584,-0.00492408,-0.00446476
0.52000000,0.00000000,0.00113555,-0.00196829,-0.01059852
0.54000000,0.00000000,-0.00689508,0.00121964,0.11801321
0.56000000,0.00000000,-0.00474336,0.00401878,0.06528659
0.58000000,0.00000000,-0.00294721,-0.00204090,0.06325421
0.60000000,0.00000000,0.00051874,0.00360452,-0.02735989
0.62000000,0.00000000,0.00196521,0.01082832,-0.08951538
0.64000000,0.00000000,0.00073988,-0.00743720,0.02386818
0.66000000,0.00000000,-0.00272654,-0.00333077,0.06573156
0.68000000,0.00000000,0.00020769,0.00921894,-0.04983311
0.70000000,0.00000000,-0.00102831,0.00458375,-0.00440923
0.72000000,0.00000000,0.00053113,-0.00138915,-0.00261457
0.74000000,0.00000000,-0.00318992,-0.00079028,0.06136986
0.76000000,0.00000000,-0.00151755,0.01019118,-0.02363993
0.78000000,0.00000000,0.00649258,0.00550791,-0.14440593
