time_s,reference_m,position_measured_m,velocity_measured_m_s,force_command_n
0.00000000,0.00000000,0.12078897,-0.00239515,-2.16222574
0.02000000,0.00000000,0.11931929,-0.04521750,-1.92165975
0.04000000,0.00000000,0.11603679,-0.07852639,-1.69603023
0.06000000,0.00000000,0.11611174,-0.09588435,-1.61058950
0.08000000,0.00000000,0.11462883,-0.11374815,-1.49457827
0.10000000,0.00000000,0.10839831,-0.13336937,-1.28432279
0.12000000,0.00000000,0.10204687,-0.15972206,-1.03823337
0.14000000,0.00000000,0.10129925,-0.17155208,-0.96562604
0.16000000,0.00000000,0.09998769,-0.16791030,-0.96022688
0.18000000,0.00000000,0.09601824,-0.19578279,-0.74941445
0.20000000,0.00000000,0.09366096,-0.19780037,-0.69689537
0.22000000,0.00000000,0.09314593,-0.20314638,-0.66089484
0.24000000,0.00000000,0.08758730,-0.20781785,-0.53748219
0.26000000,0.00000000,0.08307765,-0.21026995,-0.44404787
0.28000000,0.00000000,0.07665895,-0.22006998,-0.27951121
0.30000000,0.00000000,0.07468992,-0.21090889,-0.28987419
0.32000000,0.00000000,0.07122499,-0.21118791,-0.22611024
0.34000000,0.00000000,0.06864524,-0.19762251,-0.24750175
0.36000000,0.00000000,0.06078415,-0.21188645,-0.03468242
0.38000000,0.00000000,0.05534743,-0.18360538,-0.07822677
0.40000000,0.00000000,0.04961710,-0.19096866,0.06173552
0.42000000,0.00000000,0.05013195,-0.18656016,0.03042561
0.44000000,0.00000000,0.04312517,-0.16501874,0.04884063
0.46000000,0.00000000,0.04272721,-0.17105299,0.08617511
0.48000000,0.00000000,0.03578704,-0.15803919,0.14602923
0.50000000,0.00000000,0.03774627,-0.15800430,0.11058874
0.52000000,0.00000000,0.03303230,-0.15140150,0.16242615
0.54000000,0.00000000,0.03036989,-0.13632841,0.13498398
0.56000000,0.00000000,0.02485545,-0.13916705,0.24843718
0.58000000,0.00000000,0.02886908,-0.12550587,0.10788584
0.60000000,0.00000000,0.02473353,-0.12369025,0.17324771
0.62000000,0.00000000,0.02018604,-0.11272384,0.20027051
0.64000000,0.00000000,0.01822906,-0.10999026,0.22182815
0.66000000,0.00000000,0.01836973,-0.09657203,0.15220502
0.68000000,0.00000000,0.01657899,-0.07453406,0.07424855
0.70000000,0.00000000,0.01434137,-0.08852736,0.18449210
0.72000000,0.00000000,0.01050063,-0.07786522,0.20031467
0.74000000,0.00000000,0.01563158,-0.07920596,0.11466144
0.76000000,0.00000000,0.01085583,-0.06833994,0.14629475
0.78000000,0.00000000,0.00693749,-0.06701136,0.21018204
0.80000000,0.00000000,0.00492005,-0.04428072,0.13284277
0.82000000,0.00000000,0.00591825,-0.06401709,0.21355700
0.84000000,0.00000000,0.00466625,-0.05020908,0.16705289
0.86000000,0.00000000,0.00138515,-0.03936460,0.17189034
0.88000000,0.00000000,0.00548482,-0.03759302,0.08923825
0.90000000,0.00000000,0.00030107,-0.03003469,0.14475419
0.92000000,0.00000000,0.00461872,-0.03995252,0.11662563
0.94000000,0.00000000,-0.00201520,-0.02588256,0.16568644
0.96000000,0.00000000,0.00075858,-0.03829747,0.17783294
0.98000000,0.00000000,-0.00348749,-0.01812250,0.15338736
1.00000000,0.50000000,0.00599091,-0.01801947,8.98226094
1.02000000,0.50000000,0.00701298,0.13648451,8.19134387
1.04000000,0.50000000,0.00743001,0.26534728,7.53952347
1.06000000,0.50000000,0.01966388,0.39451296,6.67348528
1.08000000,0.50000000,0.02425642,0.50097503,6.05850930
1.10000000,0.50000000,0.03580350,0.58442918,5.43339113
1.12000000,0.50000000,0.04649318,0.66188116,4.85371704
1.14000000,0.50000000,0.06272192,0.71382070,4.30190187
1.16000000,0.50000000,0.07734449,0.76178004,3.79889905
1.18000000,0.50000000,0.09504321,0.80480972,3.26517369
1.20000000,0.50000000,0.11142639,0.83478490,2.82040043
1.22000000,0.50000000,0.13391260,0.85839125,2.29761700
1.24000000,0.50000000,0.15156329,0.85822036,1.98075903
1.26000000,0.50000000,0.16550928,0.86346860,1.70348998
1.28000000,0.50000000,0.17880556,0.87252719,1.41886401
1.30000000,0.50000000,0.20288661,0.85149293,1.09057635
1.32000000,0.50000000,0.21880918,0.85015415,0.81066407
1.34000000,0.50000000,0.23156074,0.81596350,0.75208927
1.36000000,0.50000000,0.24449742,0.82835203,0.45728632
1.38000000,0.50000000,0.26692287,0.80237313,0.18352275
1.40000000,0.50000000,0.27671486,0.77231312,0.15756692
1.42000000,0.50000000,0.29706986,0.76064849,-0.15049990
1.44000000,0.50000000,0.31160914,0.72562795,-0.23710419
1.46000000,0.50000000,0.32326637,0.69340560,-0.28582262
1.48000000,0.50000000,0.33654047,0.66655779,-0.39051741
1.50000000,0.50000000,0.35379971,0.62779357,-0.50736271
1.52000000,0.50000000,0.35735452,0.60521496,-0.45845616
1.54000000,0.50000000,0.36946605,0.57965034,-0.54864055
1.56000000,0.50000000,0.38240981,0.53903613,-0.57855729
1.58000000,0.50000000,0.39647453,0.50310707,-0.65207683
