time_s,reference_m,position_measured_m,velocity_measured_m_s,force_command_n
0.00000000,0.00000000,0.12149049,-0.00915903,-2.14103360
0.02000000,0.00000000,0.11967620,-0.04090300,-1.94965662
0.04000000,0.00000000,0.11527723,-0.05852592,-1.78236056
0.06000000,0.00000000,0.12027236,-0.09841936,-1.67280579
0.08000000,0.00000000,0.11620557,-0.11667316,-1.50833441
0.10000000,0.00000000,0.10947552,-0.14045435,-1.26828761
0.12000000,0.00000000,0.10863228,-0.15824290,-1.16416646
0.14000000,0.00000000,0.10415650,-0.17286252,-1.01050439
0.16000000,0.00000000,0.10203620,-0.18132129,-0.93004517
0.18000000,0.00000000,0.09430909,-0.19373827,-0.72887226
0.20000000,0.00000000,0.09121319,-0.19770695,-0.65330263
0.22000000,0.00000000,0.08877433,-0.19554737,-0.62020110
0.24000000,0.00000000,0.08561733,-0.20216690,-0.53027735
0.26000000,0.00000000,0.08320500,-0.20696661,-0.46285691
0.28000000,0.00000000,0.06989146,-0.20837275,-0.21618247
0.30000000,0.00000000,0.07598346,-0.19167445,-0.40933012
0.32000000,0.00000000,0.06038147,-0.20863005,-0.04371623
0.34000000,0.00000000,0.06595520,-0.18801722,-0.24710757
0.36000000,0.00000000,0.06386049,-0.18898291,-0.20457430
0.38000000,0.00000000,0.05709834,-0.18712091,-0.09216548
0.40000000,0.00000000,0.04800472,-0.19487194,0.11027473
0.42000000,0.00000000,0.05377089,-0.18758957,-0.02992818
0.44000000,0.00000000,0.04728183,-0.17669384,0.03239630
0.46000000,0.00000000,0.04206543,-0.16642377,0.07494111
0.48000000,0.00000000,0.04153100,-0.16367157,0.07079985
0.50000000,0.00000000,0.03527195,-0.15753264,0.15276810
0.52000000,0.00000000,0.03384591,-0.14713523,0.12644976
0.54000000,0.00000000,0.03033892,-0.14309550,0.16937692
0.56000000,0.00000000,0.02843958,-0.12688187,0.12249685
0.58000000,0.00000000,0.02352566,-0.12462840,0.19968005
0.60000000,0.00000000,0.03202893,-0.11006134,-0.02621405
0.62000000,0.00000000,0.02287084,-0.12099483,0.19329897
0.64000000,0.00000000,0.02516123,-0.11597640,0.12697985
0.66000000,0.00000000,0.02031998,-0.09561274,0.11230398
0.68000000,0.00000000,0.01656056,-0.08765577,0.14018871
0.70000000,0.00000000,0.01566985,-0.09010722,0.16847880
