run_id,scenario,tracking_rmse_measured_m,tracking_rmse_true_m,mean_sensor_residual_m,force_command_rms_n,force_saturation_fraction,final_true_error_m
actuator_loss_00,actuator_loss,0.33883308,0.33877067,0.00009889,3.68289656,0.04285714,0.00177824
actuator_loss_01,actuator_loss,0.33969633,0.33975172,0.00007801,3.71712756,0.04285714,0.00234690
actuator_loss_02,actuator_loss,0.34119078,0.34122384,-0.00016404,3.74185924,0.04285714,0.00245495
actuator_loss_03,actuator_loss,0.34038082,0.34036844,0.00021046,3.73523025,0.04571429,0.00369029
actuator_loss_04,actuator_loss,0.33647552,0.33649124,-0.00007633,3.65039578,0.04285714,0.00170182
actuator_loss_05,actuator_loss,0.34236768,0.34238625,0.00010613,3.75416894,0.04571429,0.00244284
actuator_loss_06,actuator_loss,0.34007476,0.34005908,0.00000540,3.71698438,0.04571429,0.00344799
actuator_loss_07,actuator_loss,0.33822879,0.33812099,-0.00012522,3.68477301,0.04285714,0.00202784
nominal_00,nominal,0.29717763,0.29727367,0.00018887,2.99901136,0.02857143,0.00082998
nominal_01,nominal,0.29741095,0.29722124,0.00011855,2.99141258,0.02857143,-0.00033336
nominal_02,nominal,0.29698090,0.29704860,-0.00002284,2.98859493,0.02857143,0.00049919
nominal_03,nominal,0.29633942,0.29629773,-0.00009259,2.96220612,0.02857143,-0.00063550
nominal_04,nominal,0.29728028,0.29696269,0.00011977,2.99008937,0.02857143,-0.00018855
nominal_05,nominal,0.29774624,0.29770444,0.00032856,2.98475249,0.02857143,0.00024304
nominal_06,nominal,0.29751958,0.29744090,-0.00002630,2.97560096,0.02857143,-0.00005395
nominal_07,nominal,0.29526669,0.29534853,0.00026127,2.92842095,0.02857143,-0.00054192
sensor_bias_00,sensor_bias,0.29938979,0.34024875,0.12004820,3.01008348,0.02857143,0.12006449
sensor_bias_01,sensor_bias,0.29708660,0.33834790,0.12030190,2.98187070,0.02857143,0.12016948
sensor_bias_02,sensor_bias,0.29570173,0.33690819,0.12040907,2.95120830,0.02857143,0.12115848
sensor_bias_03,sensor_bias,0.29907953,0.34019394,0.12009377,3.01500706,0.02857143,0.12039903
sensor_bias_04,sensor_bias,0.29785580,0.33857672,0.11995541,3.00226207,0.02857143,0.11983389
sensor_bias_05,sensor_bias,0.29449075,0.33587697,0.12018594,2.93062783,0.02857143,0.11960535
sensor_bias_06,sensor_bias,0.29604595,0.33741281,0.11996141,2.94044921,0.02857143,0.12017815
sensor_bias_07,sensor_bias,0.29520387,0.33637172,0.11984240,2.92909483,0.02857143,0.11969335
